"","Age_Categories","Sex_of_driver","Educational_level","Vehicle_driver_relation","Driving_experience","Lanes_or_Medians","Types_of_Junction","Road_surface_type","Light_conditions","Weather_conditions","Type_of_collision","Vehicle_movement","Pedestrian_movement","Cause_of_accident","Accident_severity"
"11880","18-30","Male","Above high school","Owner","1-2yr","Two-way (divided with broken lines road marking)","Crossing","Asphalt roads","Daylight","Raining","Vehicle with vehicle collision","Unknown","Crossing from driver's nearside","Driving at high speed",2
"11881","18-30","Male","Above high school","Employee","No Licence","Two-way (divided with broken lines road marking)","Crossing","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Going straight"," or other","No distancing",2
"11882","31-50","Male","Junior high school","Employee","1-2yr","Two-way (divided with broken lines road marking)","Crossing","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Changing lane to the right",2
"11883","18-30","Male","Junior high school","Employee","5-10yr","Undivided Two way","Crossing","Asphalt roads","Darkness - lights lit","Normal","Collision with pedestrians","Going straight","Not a Pedestrian","Changing lane to the left",2
"11884","18-30","Male","Junior high school","Employee","Above 10yr","Two-way (divided with broken lines road marking)","Crossing","Asphalt roads","Darkness - lights lit","Normal","Rollover","Going straight","Not a Pedestrian","Getting off the vehicle improperly",2
"11885","31-50","Female","Junior high school","Employee","Above 10yr","Two-way (divided with broken lines road marking)","Y Shape","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Other",2
"11886","18-30","Male","Junior high school","Owner","5-10yr","Undivided Two way","Y Shape","Asphalt roads","Darkness - lights lit","Normal","Rollover","Going straight","Not a Pedestrian","Other",2
"11887","Over 51","Male","Elementary school","Employee","2-5yr","One way","Y Shape","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","No distancing",2
"11888","18-30","Male","Junior high school","Employee","2-5yr","Undivided Two way","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","No priority to vehicle",2
"11889","31-50","Male","Junior high school","Employee","Below 1yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Overtaking",2
"11890","18-30","Male","Junior high school","Employee","2-5yr","Two-way (divided with broken lines road marking)","Y Shape","Asphalt roads","Daylight","Normal","Fall from vehicles","Going straight","Not a Pedestrian","No priority to pedestrian",2
"11891","18-30","Male","Junior high school","Employee","2-5yr","Undivided Two way","Y Shape","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","No distancing",2
"11892","18-30","Male","Elementary school","Employee","5-10yr","Two-way (divided with broken lines road marking)","Y Shape","Asphalt roads","Daylight","Normal","Collision with roadside objects","Going straight","Not a Pedestrian","Changing lane to the right",2
"11893","Under 18","Male","Junior high school","Employee","Above 10yr","Two-way (divided with broken lines road marking)","Y Shape","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Driving carelessly",1
"11894","18-30","Male","Junior high school","Unknown","5-10yr","Undivided Two way","Y Shape","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Changing lane to the right",1
"11895","31-50","Male","Junior high school","Employee","2-5yr","Undivided Two way","Y Shape","Asphalt roads","Darkness - lights lit","Raining","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Overtaking",2
"11896","31-50","Male","Junior high school","Employee","5-10yr","other","Y Shape","Asphalt roads","Darkness - lights lit","Raining","Collision with pedestrians","Moving Backward","Not a Pedestrian","Other",2
"11897","31-50","Male","Above high school","Employee","2-5yr","One way","Crossing","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Driving to the left",2
"11898","18-30","Male","Junior high school","Unknown","5-10yr","Two-way (divided with broken lines road marking)","Crossing","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Driving at high speed",2
"11899","18-30","Male","Junior high school","Employee","1-2yr","Two-way (divided with broken lines road marking)","Crossing","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Unknown",2
"11900","31-50","Male","Junior high school","Employee","2-5yr","Undivided Two way","Crossing","Asphalt roads","Daylight","Normal","Rollover","Unknown","Not a Pedestrian","Changing lane to the right",2
"11901","31-50","Male","Junior high school","Employee","Above 10yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Daylight","Normal","Collision with roadside objects","Turnover","Not a Pedestrian","No distancing",2
"11902","18-30","Male","Junior high school","Employee","Below 1yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Other",2
"11903","Over 51","Male","Junior high school","Employee","2-5yr","One way","No junction","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","No priority to vehicle",2
"11904","31-50","Male","Junior high school","Employee","Below 1yr","Two-way (divided with broken lines road marking)","Crossing","Asphalt roads","Darkness - lights lit","Normal","Collision with roadside objects","Going straight","Not a Pedestrian","Changing lane to the left",2
"11905","18-30","Male","High school","Employee","5-10yr","One way","Crossing","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","No priority to pedestrian",2
"11906","18-30","Male","Above high school","Employee","1-2yr","Two-way (divided with broken lines road marking)","Crossing","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Going straight","Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle","Overtaking",2
"11907","Over 51","Male","Junior high school","Employee","Below 1yr","Two-way (divided with broken lines road marking)","Y Shape","Asphalt roads","Daylight","Raining and Windy","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Driving carelessly",2
"11908","Over 51","Male","Junior high school","Unknown","5-10yr","Undivided Two way","Y Shape","Asphalt roads","Daylight","Normal","Rollover","Going straight","Not a Pedestrian","No priority to vehicle",2
"11909","Over 51","Male","High school","Employee","Below 1yr","Two-way (divided with broken lines road marking)","Y Shape","Asphalt roads","Daylight","Normal","Rollover","Going straight","Not a Pedestrian","No priority to pedestrian",2
"11910","18-30","Male","High school","Employee","Below 1yr","Two-way (divided with broken lines road marking)","Y Shape","Asphalt roads","Darkness - lights lit","Raining","Collision with pedestrians","Going straight","Not a Pedestrian","Changing lane to the right",2
"11911","18-30","Male","Junior high school","Unknown","5-10yr","Undivided Two way","Y Shape","Asphalt roads","Darkness - lights lit","Raining","Vehicle with vehicle collision","Turnover","Not a Pedestrian","Driving carelessly",2
"11912","18-30","Male","High school","Employee","2-5yr","Two-way (divided with broken lines road marking)","Y Shape","Asphalt roads","Darkness - lights lit","Raining","Vehicle with vehicle collision","Unknown","Not a Pedestrian","Changing lane to the right",2
"11913","18-30","Male","Junior high school","Employee","Above 10yr","Two-way (divided with broken lines road marking)","Y Shape","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Reversing"," or other","Changing lane to the right",2
"11914","31-50","Male","Junior high school","Employee","Above 10yr","other","Other","Asphalt roads","Darkness - lights lit","Normal","Collision with pedestrians","Other","Not a Pedestrian","Changing lane to the left",2
"11915","18-30","Male","Junior high school","Employee","5-10yr","Two-way (divided with broken lines road marking)","Other","Asphalt roads","Daylight","Normal","Collision with pedestrians","Going straight","Not a Pedestrian","Overturning",2
"11916","Over 51","Male","Junior high school","Employee","1-2yr","other","Y Shape","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Going straight"," or other","Driving carelessly",2
"11917","31-50","Male","Junior high school","Employee","Below 1yr","Undivided Two way","Y Shape","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Turnover","Not a Pedestrian","No distancing",2
"11918","31-50","Female","Junior high school","Employee","Below 1yr","Two-way (divided with broken lines road marking)","Y Shape","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Other","Not a Pedestrian","Driving carelessly",2
"11919","18-30","Male","High school","Employee","2-5yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Darkness - lights lit","Normal","Collision with roadside objects","Going straight","Not a Pedestrian","Changing lane to the left",2
"11920","18-30","Male","Junior high school","Owner","1-2yr","other","Y Shape","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","No priority to vehicle",2
"11921","18-30","Male","Junior high school","Employee","5-10yr","other","Y Shape","Asphalt roads","Darkness - lights lit","Normal","Collision with roadside objects","Other","Not a Pedestrian","Changing lane to the right",2
"11922","Over 51","Male","Elementary school","Employee","2-5yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","No distancing",2
"11923","18-30","Male","Elementary school","Owner","5-10yr","Undivided Two way","Crossing","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Turnover","Not a Pedestrian","Moving Backward",2
"11924","18-30","Male","Junior high school","Employee","Above 10yr","Undivided Two way","Crossing","Asphalt roads","Darkness - lights lit","Raining","Collision with roadside objects","Going straight","Not a Pedestrian","Moving Backward",2
"11925","31-50","Male","Junior high school","Employee","5-10yr","Undivided Two way","Y Shape","Asphalt roads","Darkness - lights lit","Raining","Vehicle with vehicle collision","Turnover","Not a Pedestrian","No distancing",2
"11926","31-50","Male","High school","Employee","5-10yr","Undivided Two way","Y Shape","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","No distancing",2
"11927","31-50","Male","Junior high school","Employee","5-10yr","Undivided Two way","No junction","Asphalt roads","Darkness - lights lit","Normal","Collision with roadside objects","Moving Backward","Not a Pedestrian","No distancing",2
"11928","Over 51","Male","Junior high school","Employee","Above 10yr","Undivided Two way","No junction","Asphalt roads","Daylight","Normal","Collision with roadside objects","Unknown","Not a Pedestrian","No priority to pedestrian",1
"11929","Over 51","Male","Junior high school","Unknown","1-2yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Driving carelessly",1
"11930","31-50","Male","Junior high school","Employee","2-5yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Changing lane to the right",1
"11931","31-50","Male","Junior high school","Employee","1-2yr","Undivided Two way","No junction","Asphalt roads","Daylight","Cloudy","Vehicle with vehicle collision","Reversing","Not a Pedestrian","Changing lane to the left",2
"11932","Over 51","Male","Junior high school","Unknown","5-10yr","Two-way (divided with broken lines road marking)","Y Shape","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Reversing","Not a Pedestrian","Driving carelessly",2
"11933","31-50","Male","Elementary school","Employee","5-10yr","Two-way (divided with broken lines road marking)","Y Shape","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Reversing","Not a Pedestrian","Driving carelessly",2
"11934","Over 51","Male","Junior high school","Employee","5-10yr","One way","Y Shape","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","No distancing",2
"11935","31-50","Male","Junior high school","Employee","Above 10yr","Undivided Two way","Y Shape","Asphalt roads","Daylight","Raining","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Other",2
"11936","18-30","Male","Junior high school","Employee","2-5yr","Undivided Two way","Y Shape","Asphalt roads","Daylight","Other","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Changing lane to the right",2
"11937","31-50","Male","Junior high school","Owner","Above 10yr","Two-way (divided with broken lines road marking)","Y Shape","Asphalt roads","Daylight","Raining","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Changing lane to the right",1
"11938","31-50","Male","Junior high school","Employee","2-5yr","One way","Y Shape","Asphalt roads","Daylight","Raining","Vehicle with vehicle collision","Moving Backward","Not a Pedestrian","No distancing",1
"11939","18-30","Male","Elementary school","Other","5-10yr","Undivided Two way","Y Shape","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","No distancing",2
"11940","31-50","Male","Elementary school","Employee","5-10yr","One way","No junction","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Moving Backward","Not a Pedestrian","Overturning",2
"11941","31-50","Male","Junior high school","Unknown","5-10yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Darkness - lights lit","Raining","Vehicle with vehicle collision","Moving Backward","Not a Pedestrian","Driving at high speed",0
"11942","18-30","Male","Junior high school","Employee","5-10yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Darkness - lights lit","Cloudy","Vehicle with vehicle collision","Going straight","Not a Pedestrian","No priority to vehicle",2
"11943","18-30","Male","Elementary school","Employee","Above 10yr","Undivided Two way","No junction","Asphalt roads","Darkness - lights lit","Cloudy","Vehicle with vehicle collision","Other","Not a Pedestrian","No priority to pedestrian",2
"11944","Over 51","Male","Junior high school","Unknown","Below 1yr","Two-way (divided with solid lines road marking)","No junction","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","No priority to vehicle",2
"11945","Over 51","Male","Junior high school","Employee","5-10yr","Undivided Two way","No junction","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Other","Not a Pedestrian","Other",2
"11946","Over 51","Male","Elementary school","Employee","1-2yr","One way","No junction","Asphalt roads","Darkness - lights lit","Windy","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Other",2
"11947","31-50","Male","Junior high school","Employee","Above 10yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Daylight","Raining","Collision with roadside objects","Reversing","Not a Pedestrian","Moving Backward",2
"11948","31-50","Male","Elementary school","Owner","2-5yr","Undivided Two way","Other","Asphalt roads","Daylight","Raining","Vehicle with vehicle collision","Unknown","Not a Pedestrian","No distancing",2
"11949","31-50","Male","Junior high school","Employee","5-10yr","Two-way (divided with broken lines road marking)","Other","Asphalt roads","Darkness - lights lit","Normal","Collision with pedestrians","Going straight","Not a Pedestrian","Moving Backward",2
"11950","Under 18","Male","Junior high school","Employee","Below 1yr","One way","No junction","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","No priority to vehicle",2
"11951","18-30","Male","Junior high school","Employee","5-10yr","Undivided Two way","No junction","Asphalt roads","Darkness - lights lit","Other","Collision with roadside objects","Going straight","Not a Pedestrian","Driving carelessly",2
"11952","31-50","Male","High school","Employee","Above 10yr","One way","No junction","Unknown","Darkness - lights lit","Windy","Vehicle with vehicle collision","Going straight","Not a Pedestrian","No distancing",2
"11953","31-50","Male","Junior high school","Employee","5-10yr","Undivided Two way","Y Shape","Asphalt roads","Darkness - lights lit","Raining","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Other",2
"11954","Over 51","Male","Elementary school","Employee","1-2yr","Undivided Two way","Y Shape","Asphalt roads","Darkness - lights lit","Raining","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Changing lane to the right",1
"11955","31-50","Male","Junior high school","Employee","5-10yr","Undivided Two way","No junction","Asphalt roads","Darkness - lights lit","Raining","Vehicle with vehicle collision","Other","Not a Pedestrian","No distancing",1
"11956","31-50","Male","Above high school","Employee","1-2yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Daylight","Cloudy","Vehicle with vehicle collision","Going straight","Crossing from driver's nearside","Driving carelessly",2
"11957","Over 51","Male","Junior high school","Employee","Above 10yr","Undivided Two way","No junction","Asphalt roads","Darkness - lights lit","Raining","Rollover","Going straight","Not a Pedestrian","No distancing",2
"11958","31-50","Male","Junior high school","Employee","1-2yr","Two-way (divided with broken lines road marking)","Y Shape","Asphalt roads","Darkness - lights lit","Raining","Collision with roadside objects","Going straight","Not a Pedestrian","No priority to vehicle",2
"11959","Over 51","Male","Junior high school","Employee","5-10yr","Undivided Two way","Y Shape","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Changing lane to the right",2
"11960","31-50","Male","Junior high school","Employee","2-5yr","Two-way (divided with broken lines road marking)","Y Shape","Asphalt roads","Darkness - lights lit","Normal","Collision with roadside objects","Reversing","Not a Pedestrian","No priority to pedestrian",2
"11961","Over 51","Male","Junior high school","Unknown","5-10yr","Two-way (divided with broken lines road marking)","Y Shape","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","No priority to vehicle",2
"11962","18-30","Male","Junior high school","Employee","2-5yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Changing lane to the left",2
"11963","31-50","Male","Junior high school","Employee","2-5yr","Undivided Two way","No junction","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Other","Not a Pedestrian","Turnover",1
"11964","18-30","Male","Junior high school","Employee","Above 10yr","Undivided Two way","No junction","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Driving to the left",2
"11965","18-30","Male","Junior high school","Employee","1-2yr","Undivided Two way","No junction","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Driving carelessly",2
"11966","31-50","Male","Above high school","Owner","1-2yr","other","No junction","Asphalt roads","Darkness - lights lit","Normal","Collision with roadside objects","Going straight","Not a Pedestrian","Driving to the left",2
"11967","Over 51","Female","Above high school","Employee","No Licence","Undivided Two way","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Turnover","Not a Pedestrian","Driving carelessly",2
"11968","31-50","Male","Junior high school","Employee","1-2yr","Two-way (divided with solid lines road marking)","No junction","Asphalt roads","Darkness - lights lit","Normal","Collision with roadside objects","Going straight","Not a Pedestrian","No priority to pedestrian",2
"11969","18-30","Male","Junior high school","Employee","5-10yr","Two-way (divided with solid lines road marking)","No junction","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Driving carelessly",2
"11970","18-30","Male","Junior high school","Employee","Above 10yr","Two-way (divided with solid lines road marking)","No junction","Asphalt roads","Darkness - lights lit","Raining","Vehicle with vehicle collision","Reversing","Not a Pedestrian","Changing lane to the right",2
"11971","31-50","Male","Junior high school","Employee","Above 10yr","Two-way (divided with solid lines road marking)","No junction","Asphalt roads","Darkness - lights lit","Raining","Vehicle with vehicle collision","Other","Not a Pedestrian","Moving Backward",2
"11972","31-50","Male","Junior high school","Owner","5-10yr","Two-way (divided with broken lines road marking)","Crossing","Asphalt roads","Darkness - lights lit","Raining","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Driving carelessly",2
"11973","31-50","Male","Elementary school","Employee","2-5yr","Undivided Two way","Crossing","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Changing lane to the right",1
"11974","31-50","Male","Junior high school","Employee","2-5yr","Undivided Two way","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Moving Backward","Not a Pedestrian","Driving carelessly",1
"11975","18-30","Male","Junior high school","Employee","Below 1yr","other","No junction","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Reversing","Not a Pedestrian","Driving carelessly",2
"11976","Over 51","Male","Junior high school","Employee","2-5yr","Undivided Two way","Unknown","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Going straight","Crossing from driver's nearside","Driving carelessly",2
"11977","Under 18","Male","Junior high school","Employee","2-5yr","Two-way (divided with broken lines road marking)","Unknown","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Changing lane to the right",2
"11978","31-50","Male","Elementary school","Employee","5-10yr","Undivided Two way","Y Shape","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Moving Backward","Not a Pedestrian","Changing lane to the right",2
"11979","31-50","Male","Junior high school","Employee","Above 10yr","Undivided Two way","Crossing","Asphalt roads","Daylight","Raining","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Driving carelessly",2
"11980","18-30","Male","Junior high school","Unknown","5-10yr","One way","Crossing","Asphalt roads","Daylight","Raining","Rollover","Going straight","Not a Pedestrian","Overtaking",2
"11981","Over 51","Male","Junior high school","Employee","2-5yr","Two-way (divided with broken lines road marking)","Other","Gravel roads","Daylight","Raining","Collision with roadside objects","Going straight","Not a Pedestrian","Changing lane to the right",2
"11982","Over 51","Male","Junior high school","Employee","5-10yr","Undivided Two way","Other","Asphalt roads","Daylight","Raining","Vehicle with vehicle collision","Going straight","Not a Pedestrian","No distancing",2
"11983","31-50","Male","Above high school","Employee","2-5yr","Two-way (divided with broken lines road marking)","Other","Asphalt roads","Darkness - lights lit","Raining","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Other",1
"11984","Over 51","Male","Junior high school","Unknown","5-10yr","other","Y Shape","Asphalt roads","Darkness - lights lit","Raining","Collision with roadside objects","Going straight","Not a Pedestrian","Changing lane to the right",2
"11985","31-50","Male","Junior high school","Employee","1-2yr","Undivided Two way","Y Shape","Asphalt roads","Darkness - lights lit","Raining","Vehicle with vehicle collision","Unknown","Not a Pedestrian","Changing lane to the right",2
"11986","Over 51","Male","Junior high school","Employee","2-5yr","One way","Y Shape","Asphalt roads","Darkness - no lighting","Raining","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Overtaking",1
"11987","Over 51","Male","Junior high school","Employee","Above 10yr","Undivided Two way","Y Shape","Asphalt roads","Darkness - lights lit","Raining","Vehicle with vehicle collision","Reversing","Not a Pedestrian","Other",2
"11988","Under 18","Male","Junior high school","Employee","Below 1yr","Undivided Two way","Y Shape","Asphalt roads","Darkness - lights lit","Normal","Rollover","Going straight","Not a Pedestrian","Driving to the left",2
"11989","31-50","Male","Junior high school","Employee","2-5yr","One way","Y Shape","Asphalt roads","Darkness - lights lit","Normal","Rollover","Going straight","Not a Pedestrian","Overtaking",2
"11990","18-30","Male","Junior high school","Employee","Below 1yr","Undivided Two way","Y Shape","Asphalt roads","Darkness - lights lit","Raining","Collision with pedestrians","Going straight","Not a Pedestrian","No priority to vehicle",1
"11991","18-30","Male","High school","Employee","5-10yr","Two-way (divided with broken lines road marking)","Y Shape","Asphalt roads with some distress","Darkness - lights lit","Raining","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Moving Backward",1
"11992","Over 51","Male","Above high school","Employee","1-2yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Other",2
"11993","18-30","Male","Junior high school","Employee","Below 1yr","other","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","In carriageway, statioNot a Pedestrianry - not crossing  (standing or playing) - masked by parked or statioNot a Pedestrianry vehicle","No priority to vehicle",2
"11994","Over 51","Male","Junior high school","Unknown","5-10yr","Double carriageway (median)","Y Shape","Asphalt roads","Darkness - lights lit","Normal","Collision with pedestrians","Other","Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle","No priority to pedestrian",2
"11995","Over 51","Male","High school","Employee","Below 1yr","Two-way (divided with broken lines road marking)","Y Shape","Asphalt roads","Daylight","Normal","Collision with pedestrians","Moving Backward","Not a Pedestrian","Changing lane to the right",2
"11996","Over 51","Male","High school","Employee","Below 1yr","Double carriageway (median)","Y Shape","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Other","Not a Pedestrian","Changing lane to the right",2
"11997","Over 51","Male","Junior high school","Unknown","5-10yr","Double carriageway (median)","Y Shape","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Changing lane to the right",1
"11998","31-50","Male","High school","Employee","2-5yr","Double carriageway (median)","Y Shape","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Driving to the left",2
"11999","31-50","Male","Junior high school","Employee","Above 10yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Daylight","Normal","Collision with roadside objects","Going straight","Not a Pedestrian","Changing lane to the left",2
"12000","31-50","Male","Junior high school","Employee","Above 10yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Other","Crossing from offside - masked by  parked or statioNot a Pedestrianry vehicle","Moving Backward",2
"12001","18-30","Male","Junior high school","Employee","5-10yr","One way","Y Shape","Asphalt roads","Daylight","Normal","Collision with roadside objects","Going straight","Not a Pedestrian","Driving at high speed",2
"12002","Over 51","Male","Junior high school","Employee","1-2yr","Undivided Two way","Y Shape","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Unknown","Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle","Moving Backward",2
"12003","Over 51","Male","Junior high school","Employee","Below 1yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","No distancing",2
"12004","31-50","Male","Junior high school","Employee","Below 1yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Daylight","Normal","Collision with roadside objects","Going straight","Not a Pedestrian","Other",2
"12005","18-30","Male","High school","Employee","2-5yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","No priority to vehicle",2
"12006","Over 51","Male","Junior high school","Owner","1-2yr","Two-way (divided with broken lines road marking)","Y Shape","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Changing lane to the right",1
"12007","18-30","Male","Junior high school","Employee","5-10yr","Two-way (divided with broken lines road marking)","Y Shape","Asphalt roads","Daylight","Normal","Collision with roadside objects","Moving Backward","Not a Pedestrian","Other",1
"12008","18-30","Male","Elementary school","Employee","2-5yr","Undivided Two way","Y Shape","Asphalt roads","Daylight","Normal","Collision with roadside objects","Moving Backward","Not a Pedestrian","No distancing",1
"12009","18-30","Male","Elementary school","Owner","5-10yr","Undivided Two way","Crossing","Asphalt roads","Daylight","Windy","Vehicle with vehicle collision","Going straight","Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle","Driving carelessly",2
"12010","Under 18","Male","Junior high school","Employee","Above 10yr","Two-way (divided with broken lines road marking)","Crossing","Asphalt roads","Daylight","Windy","Vehicle with vehicle collision","Going straight","Not a Pedestrian","No distancing",2
"12011","Under 18","Male","Junior high school","Employee","5-10yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Daylight","Windy","Vehicle with vehicle collision","Turnover","Not a Pedestrian","Moving Backward",2
"12012","31-50","Male","High school","Employee","5-10yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","No distancing",2
"12013","18-30","Male","Junior high school","Employee","5-10yr","Undivided Two way","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Moving Backward",2
"12014","31-50","Male","Junior high school","Employee","Above 10yr","Double carriageway (median)","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","No priority to pedestrian",2
"12015","31-50","Male","Junior high school","Unknown","1-2yr","Two-way (divided with broken lines road marking)","Y Shape","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Changing lane to the left",2
"12016","18-30","Male","Junior high school","Employee","2-5yr","Undivided Two way","Y Shape","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","No distancing",2
"12017","31-50","Male","Junior high school","Employee","1-2yr","other","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Other",2
